x,cf,cp
1.118945718E+00, 1.979684923E-03,  1.367200017E-01
1.121960521E+00, 2.001453424E-03,  1.345800012E-01
1.124963522E+00, 2.022798872E-03,  1.323900074E-01
1.127954960E+00, 2.043809276E-03,  1.301999986E-01
1.130934477E+00, 2.064181259E-03,  1.279799938E-01
1.133902311E+00, 2.084021689E-03,  1.257400066E-01
1.136858106E+00, 2.103422536E-03,  1.234999970E-01
1.139802098E+00, 2.122239210E-03,  1.212600023E-01
1.142734051E+00, 2.140437951E-03,  1.190200001E-01
1.145654082E+00, 2.158059971E-03,  1.167899966E-01
1.148561954E+00, 2.175095491E-03,  1.145799980E-01
1.151457787E+00, 2.191535430E-03,  1.124000028E-01
1.154341459E+00, 2.207396086E-03,  1.102299988E-01
1.157212973E+00, 2.222672105E-03,  1.080999970E-01
1.160072327E+00, 2.237332053E-03,  1.059999987E-01
1.162919402E+00, 2.251306549E-03,  1.039400026E-01
1.165754199E+00, 2.264505019E-03,  1.019200012E-01
1.168576717E+00, 2.276846208E-03,  9.994000196E-02
1.171386957E+00, 2.288282150E-03,  9.800600260E-02
1.174184799E+00, 2.298935782E-03,  9.612199664E-02
1.176970243E+00, 2.309089294E-03,  9.429199994E-02
1.179743290E+00, 2.318942221E-03,  9.250999987E-02
1.182503939E+00, 2.328537172E-03,  9.078499675E-02
1.185252070E+00, 2.337835031E-03,  8.911299706E-02
1.187987685E+00, 2.346782712E-03,  8.749199659E-02
1.190710902E+00, 2.355343895E-03,  8.592700213E-02
1.193421602E+00, 2.363499952E-03,  8.441299945E-02
1.196119666E+00, 2.371239243E-03,  8.295299858E-02
1.198805213E+00, 2.378563397E-03,  8.154299855E-02
1.201478243E+00, 2.385536674E-03,  8.017800003E-02
1.204138756E+00, 2.392262686E-03,  7.886099815E-02
1.206786513E+00, 2.398788463E-03,  7.758499682E-02
1.209421754E+00, 2.405105392E-03,  7.634799927E-02
1.212044358E+00, 2.411204623E-03,  7.514999807E-02
1.214654326E+00, 2.417088253E-03,  7.398799807E-02
1.217251658E+00, 2.422763966E-03,  7.285899669E-02
1.219836354E+00, 2.428240376E-03,  7.176200300E-02
1.222408414E+00, 2.433527261E-03,  7.069800049E-02
1.224967718E+00, 2.438633237E-03,  6.966099888E-02
1.227514505E+00, 2.443567850E-03,  6.865300238E-02
1.230048537E+00, 2.448339015E-03,  6.767299771E-02
1.232569814E+00, 2.452954184E-03,  6.671900302E-02
1.235078573E+00, 2.457419643E-03,  6.578899920E-02
1.237574458E+00, 2.461742610E-03,  6.488599628E-02
1.240057826E+00, 2.465928905E-03,  6.400399655E-02
1.242528439E+00, 2.469984116E-03,  6.314300001E-02
1.244986415E+00, 2.473914064E-03,  6.230600178E-02
1.247431755E+00, 2.477724105E-03,  6.148900092E-02
1.249864459E+00, 2.481418895E-03,  6.069000065E-02
1.252284408E+00, 2.485002857E-03,  5.991199985E-02
